player 1,k,departure time,payoff,player 2,k,departure time,payoff,player 3,k,departure time,payoff,player 4,k,departure time,payoff
1,0.0,40,20.0,2,0.0,0,19.200000000000003,3,0.0,0,19.200000000000003,4,0.0,0,19.200000000000003
1,0.1,50,19.0,2,0.1,20,17.394334751396006,3,0.1,0,17.03142265752286,4,0.1,0,17.03142265752286
1,0.2,68,17.2,2,0.2,45,15.730561410513054,3,0.2,25,15.388915516383147,4,0.2,10,15.218969758274419
1,0.30000000000000004,82,15.8,2,0.30000000000000004,65,14.562321550389454,3,0.30000000000000004,40,14.078234470083837,4,0.30000000000000004,30,13.983446454377212
1,0.4,93,14.700000000000001,2,0.4,80,13.703501820315264,3,0.4,55,13.241546480366257,4,0.4,40,13.104838901642976
1,0.5,103,13.7,2,0.5,95,13.09217557952613,3,0.5,65,12.55969574607146,4,0.5,50,12.413496101018662
1,0.6000000000000001,110,13.0,2,0.6000000000000001,105,12.531745525132251,3,0.6000000000000001,75,11.978265056356394,4,0.6000000000000001,60,11.847751553958064
1,0.7000000000000001,115,12.5,2,0.7000000000000001,115,12.5,3,0.7000000000000001,75,11.658330644978307,4,0.7000000000000001,60,11.393000305102813
1,0.8,121,11.9,2,0.8,120,11.829376854599406,3,0.8,90,11.224959601264407,4,0.8,70,11.002489395078356
1,0.9,125,11.5,2,0.9,125,11.5,3,0.9,95,10.808432848749936,4,0.9,80,10.653217079599566
1,1.0,126,11.399999999999999,2,1.0,125,11.315555555555553,3,1.0,100,10.639625185353776,4,1.0,80,10.369620925420662
1,1.1,131,10.9,2,1.1,130,10.811250925240564,3,1.1,110,10.280352411487439,4,1.1,90,10.103777647874214
1,1.2000000000000002,131,10.9,2,1.2000000000000002,130,10.803254437869823,3,1.2000000000000002,110,10.160814776688254,4,1.2000000000000002,90,9.8832258479077
1,1.3,136,10.4,2,1.3,135,10.300073909830008,3,1.3,120,9.83994013562511,4,1.3,100,9.669183765345307
1,1.4000000000000001,137,10.299999999999999,2,1.4000000000000001,137,10.299999999999999,3,1.4000000000000001,120,9.756445172225568,4,1.4000000000000001,100,9.49897272640889
1,1.5,139,10.1,2,1.5,139,10.1,3,1.5,125,9.68776337570456,4,1.5,100,9.331921356697935
1,1.6,142,9.8,2,1.6,142,9.8,3,1.6,130,9.402140660625742,4,1.6,110,9.185477746941611
1,1.7000000000000002,144,9.600000000000001,2,1.7000000000000002,144,9.600000000000001,3,1.7000000000000002,135,9.351865223586975,4,1.7000000000000002,110,9.05837446075926
1,1.8,144,9.600000000000001,2,1.8,144,9.600000000000001,3,1.8,135,9.315334544737711,4,1.8,110,8.933145476939211
1,1.9000000000000001,146,9.4,2,1.9000000000000001,146,9.4,3,1.9000000000000001,138,9.00272163909534,4,1.9000000000000001,120,8.82582554159185
