r,departure dates,mean departure,standard deviation departure,payoffs,mean payoff,standard deviation payoff,survival rates,mean survival rate
4.800000000000003,"[64, 64, 55, 30]",53.25,13.91716565971678,"[11.2, 11.2, 10.536911291341612, 9.857027311024154]",10.69848465059144,0.5561455960707832,"[1.0, 1.0, 0.957901026485601, 0.8214189425853462]",0.9448299922677368
4.900000000000004,"[65, 65, 58, 36]",56.0,11.895377253370318,"[11.0, 11.0, 10.446753614268218, 9.94316029885041]",10.597478478279656,0.4401412885253417,"[1.0, 1.0, 0.9672920013211312, 0.8571689912802077]",0.9561152481503348
5.0000000000000036,"[65, 65, 62, 32]",56.0,13.910427743243556,"[11.0, 11.0, 10.874047031817003, 10.078971833240246]",10.738254716264311,0.38409460420820735,"[1.0, 1.0, 0.9885497301651821, 0.8399143194366872]",0.9571160124004673
5.100000000000003,"[65, 65, 65, 33]",57.0,13.856406460551018,"[11.0, 11.0, 11.0, 10.185059960299288]",10.796264990074821,0.3528793884709578,"[1.0, 1.0, 1.0, 0.8487549966916073]",0.9621887491729018
5.200000000000004,"[65, 65, 65, 37]",58.0,12.12435565298214,"[11.0, 11.0, 11.0, 10.301358084604466]",10.825339521151117,0.3025208234405754,"[1.0, 1.0, 1.0, 0.8729964478478361]",0.9682491119619591
5.300000000000004,"[64, 64, 64, 38]",57.5,11.258330249197702,"[11.2, 11.2, 11.2, 10.393365209937352]",10.998341302484336,0.34928310988528993,"[1.0, 1.0, 1.0, 0.8807936618590977]",0.9701984154647745
5.400000000000004,"[63, 63, 60, 40]",56.5,9.604686356149273,"[11.399999999999999, 11.399999999999999, 11.269466923883074, 10.555989612974853]",11.156364134214481,0.3506988298307565,"[1.0, 1.0, 0.9885497301651821, 0.8945753909300724]",0.9707812802738136
5.5000000000000036,"[62, 62, 62, 38]",56.0,10.392304845413264,"[11.6, 11.6, 11.6, 10.654554372099907]",11.363638593024977,0.4093899658292047,"[1.0, 1.0, 1.0, 0.8878795310083256]",0.9719698827520814
5.600000000000004,"[62, 62, 62, 40]",56.5,9.526279441628825,"[11.6, 11.6, 11.6, 10.815824705916995]",11.403956176479248,0.33955786284800743,"[1.0, 1.0, 1.0, 0.9013187254930829]",0.9753296813732707
5.700000000000005,"[62, 62, 62, 45]",57.75,7.361215932167728,"[11.6, 11.6, 11.6, 10.9293592597846]",11.43233981494615,0.2903959589196678,"[1.0, 1.0, 1.0, 0.9262168864224238]",0.9815542216056059
5.800000000000004,"[60, 60, 60, 40]",55.0,8.660254037844387,"[12.0, 12.0, 12.0, 11.075590481204742]",11.768897620301185,0.400281063388421,"[1.0, 1.0, 1.0, 0.9078352853446511]",0.9769588213361627
5.900000000000004,"[60, 60, 57, 49]",56.5,4.5,"[12.0, 12.0, 11.617423337074223, 11.187286052550297]",11.70117734740613,0.33529425605792723,"[1.0, 1.0, 0.9845274014469682, 0.9480750891991777]",0.9831506226615364
