r,departure date,payoff,survival rate
3,90,15.0,1.0
3,88,15.2,1.0
3,86,15.400000000000002,1.0
3,84,15.600000000000001,1.0
3,82,15.8,1.0
3,80,16.0,1.0
3,79,16.099999999999998,1.0
3,77,16.3,1.0
3,76,16.4,1.0
3,74,16.6,1.0
3,73,16.7,1.0
3,72,16.799999999999997,1.0
3,70,17.0,1.0
3,69,17.1,1.0
3,68,17.2,1.0
3,67,17.3,1.0
3,66,17.4,1.0
