player 1,Tmax,departure time,payoff,player 2,Tmax,departure time,payoff,player 3,Tmax,departure time,payoff,player 4,Tmax,departure time,payoff
1,90,49,10.933333333333334,2,90,15,6.540635453006471,3,90,5,6.184376945960885,4,90,0,6.169592672840975
1,91,51,10.54945054945055,2,91,20,6.661631973818251,3,91,5,6.273247958709265,4,91,0,6.247075783331913
1,92,51,10.695652173913043,2,92,20,6.783023605054708,3,92,5,6.360186992919639,4,92,0,6.322874478377397
1,93,51,10.838709677419354,2,93,20,6.901804663576403,3,93,5,6.445256370480326,4,93,0,6.397043093959536
1,94,51,10.97872340425532,2,94,20,7.018058465533808,3,94,5,6.528515761284404,4,94,0,6.469633653890992
1,95,51,11.11578947368421,2,95,20,7.1318648190289515,3,95,5,6.610022322808394,4,95,0,6.540695991508101
1,96,51,11.25,2,96,20,7.2433002068262775,3,96,5,6.689830830967303,4,96,0,6.610277863758187
1,97,51,11.38144329896907,2,97,20,7.352437957761805,3,97,5,6.7679938028755116,4,97,0,6.678425058229921
1,98,51,11.510204081632653,2,98,20,7.459348407657832,3,98,5,6.8445616120917165,4,98,0,6.745181493630803
1,99,51,11.636363636363637,2,99,20,7.56409905048525,3,99,5,6.919582596879311,4,99,0,6.810589314175102
1,100,52,11.52,2,100,20,7.3536644652681495,3,100,10,6.997566258783512,4,100,0,6.874688978308515
1,101,52,11.643564356435643,2,101,20,7.454209618258615,3,101,10,7.0788982815933075,4,101,0,6.937519342162058
1,102,52,11.76470588235294,2,102,20,7.552783297661032,3,102,10,7.158635558857812,4,102,0,6.9991177380969045
1,103,52,11.883495145631068,2,103,20,7.649442925036216,3,103,10,7.236824539476405,4,103,0,7.059520048673792
1,104,56,11.076923076923077,2,104,27,7.746406292304693,3,104,10,7.313509885852332,4,104,0,7.1187607763549705
1,105,56,11.2,2,105,27,7.851064273219551,3,105,10,7.3887345589639555,4,105,0,7.176873109223175
