player 1,b,departure time,payoff,player 2,b,departure time,payoff,player 3,b,departure time,payoff,player 4,b,departure time,payoff
1,-20.0,240,6.583333333333333,2,-20.0,240,6.583333333333333,3,-20.0,240,6.583333333333333,4,-20.0,240,6.583333333333333
1,-19.9,240,6.583333333333333,2,-19.9,240,6.583333333333333,3,-19.9,240,6.583333333333333,4,-19.9,240,6.583333333333333
1,-19.799999999999997,240,6.583333333333333,2,-19.799999999999997,240,6.583333333333333,3,-19.799999999999997,240,6.583333333333333,4,-19.799999999999997,240,6.583333333333333
1,-19.699999999999996,240,6.583333333333333,2,-19.699999999999996,240,6.583333333333333,3,-19.699999999999996,240,6.583333333333333,4,-19.699999999999996,240,6.583333333333333
1,-19.599999999999994,240,6.583333333333333,2,-19.599999999999994,240,6.583333333333333,3,-19.599999999999994,240,6.583333333333333,4,-19.599999999999994,240,6.583333333333333
1,-19.499999999999993,240,6.583333333333333,2,-19.499999999999993,240,6.583333333333333,3,-19.499999999999993,240,6.583333333333333,4,-19.499999999999993,240,6.583333333333333
1,-19.39999999999999,240,6.583333333333333,2,-19.39999999999999,240,6.583333333333333,3,-19.39999999999999,240,6.583333333333333,4,-19.39999999999999,240,6.583333333333333
1,-19.29999999999999,240,6.583333333333333,2,-19.29999999999999,240,6.583333333333333,3,-19.29999999999999,240,6.583333333333333,4,-19.29999999999999,240,6.583333333333333
1,-19.19999999999999,240,6.583333333333333,2,-19.19999999999999,240,6.583333333333333,3,-19.19999999999999,240,6.583333333333333,4,-19.19999999999999,240,6.583333333333333
1,-19.099999999999987,240,6.583333333333333,2,-19.099999999999987,240,6.583333333333333,3,-19.099999999999987,240,6.583333333333333,4,-19.099999999999987,240,6.583333333333333
1,-18.999999999999986,240,6.583333333333333,2,-18.999999999999986,240,6.583333333333333,3,-18.999999999999986,240,6.583333333333333,4,-18.999999999999986,240,6.583333333333333
1,-18.899999999999984,240,6.583333333333333,2,-18.899999999999984,240,6.583333333333333,3,-18.899999999999984,240,6.583333333333333,4,-18.899999999999984,240,6.583333333333333
1,-18.799999999999983,240,6.583333333333333,2,-18.799999999999983,240,6.583333333333333,3,-18.799999999999983,240,6.583333333333333,4,-18.799999999999983,240,6.583333333333333
1,-18.69999999999998,240,6.583333333333333,2,-18.69999999999998,240,6.583333333333333,3,-18.69999999999998,240,6.583333333333333,4,-18.69999999999998,240,6.583333333333333
1,-18.59999999999998,240,6.583333333333333,2,-18.59999999999998,240,6.583333333333333,3,-18.59999999999998,240,6.583333333333333,4,-18.59999999999998,240,6.583333333333333
1,-18.49999999999998,240,6.583333333333333,2,-18.49999999999998,240,6.583333333333333,3,-18.49999999999998,240,6.583333333333333,4,-18.49999999999998,240,6.583333333333333
1,-18.399999999999977,240,6.583333333333333,2,-18.399999999999977,240,6.583333333333333,3,-18.399999999999977,240,6.583333333333333,4,-18.399999999999977,240,6.583333333333333
1,-18.299999999999976,240,6.583333333333333,2,-18.299999999999976,240,6.583333333333333,3,-18.299999999999976,240,6.583333333333333,4,-18.299999999999976,240,6.583333333333333
1,-18.199999999999974,240,6.583333333333333,2,-18.199999999999974,240,6.583333333333333,3,-18.199999999999974,240,6.583333333333333,4,-18.199999999999974,240,6.583333333333333
1,-18.099999999999973,240,6.583333333333333,2,-18.099999999999973,240,6.583333333333333,3,-18.099999999999973,240,6.583333333333333,4,-18.099999999999973,240,6.583333333333333
1,-17.99999999999997,240,6.583333333333333,2,-17.99999999999997,240,6.583333333333333,3,-17.99999999999997,240,6.583333333333333,4,-17.99999999999997,240,6.583333333333333
1,-17.89999999999997,240,6.583333333333333,2,-17.89999999999997,240,6.583333333333333,3,-17.89999999999997,240,6.583333333333333,4,-17.89999999999997,240,6.583333333333333
1,-17.79999999999997,240,6.583333333333333,2,-17.79999999999997,240,6.583333333333333,3,-17.79999999999997,240,6.583333333333333,4,-17.79999999999997,240,6.583333333333333
1,-17.699999999999967,240,6.583333333333333,2,-17.699999999999967,240,6.583333333333333,3,-17.699999999999967,240,6.583333333333333,4,-17.699999999999967,240,6.583333333333333
1,-17.599999999999966,240,6.583333333333333,2,-17.599999999999966,240,6.583333333333333,3,-17.599999999999966,240,6.583333333333333,4,-17.599999999999966,240,6.583333333333333
1,-17.499999999999964,240,6.583333333333333,2,-17.499999999999964,240,6.583333333333333,3,-17.499999999999964,240,6.583333333333333,4,-17.499999999999964,240,6.583333333333333
1,-17.399999999999963,240,6.583333333333333,2,-17.399999999999963,240,6.583333333333333,3,-17.399999999999963,240,6.583333333333333,4,-17.399999999999963,240,6.583333333333333
1,-17.29999999999996,240,6.583333333333333,2,-17.29999999999996,240,6.583333333333333,3,-17.29999999999996,240,6.583333333333333,4,-17.29999999999996,240,6.583333333333333
1,-17.19999999999996,240,6.583333333333333,2,-17.19999999999996,240,6.583333333333333,3,-17.19999999999996,240,6.583333333333333,4,-17.19999999999996,240,6.583333333333333
1,-17.09999999999996,240,6.583333333333333,2,-17.09999999999996,240,6.583333333333333,3,-17.09999999999996,240,6.583333333333333,4,-17.09999999999996,240,6.583333333333333
1,-16.999999999999957,240,6.583333333333333,2,-16.999999999999957,240,6.583333333333333,3,-16.999999999999957,240,6.583333333333333,4,-16.999999999999957,240,6.583333333333333
1,-16.899999999999956,240,6.583333333333333,2,-16.899999999999956,240,6.583333333333333,3,-16.899999999999956,240,6.583333333333333,4,-16.899999999999956,240,6.583333333333333
1,-16.799999999999955,240,6.583333333333333,2,-16.799999999999955,240,6.583333333333333,3,-16.799999999999955,240,6.583333333333333,4,-16.799999999999955,240,6.583333333333333
